State,District,Latitude,Longitude,District code,State name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Agricultural_Workers,Household_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Literate_Education,Illiterate_Education,Total_Power_Parity,Literacy_Rate,Male_Literacy_Rate,Sex_Ratio,Female_Literacy_Rate,Literacy_Gender_Gap,Low_Income,Middle_Income,High_Income,Worker_Participation_Rate,Male_Worker_Participation_Rate,Female_Worker_Participation_Rate,Electrification_Rate,Internet_Access_Rate,Computer_Access_Rate,Youth_Population_Percent,Middle_Age_Population_Percent,Senior_Population_Percent,Below_Primary_Education_Rate,Literate_Education_Rate,Illiteracy_Rate
Tripura,Dhalai,23.781360477941163,91.94654283088232,291,TRIPURA,378230,194544,183686,276217,151643,124574,155831,105657,50174,42201,2870,307120,8256,22940,175,39120,85,46875,273,5067,64515,84516,74015,21430,9157,6425,260948,109130,455,73.0,78.0,944.1874331770705,68.0,10.0,65,308,76,41.0,54.0,27.0,12.0,0.0,1.0,61.0,25.0,13.0,17.0,69.0,29.0
Tripura,North Tripura,24.121739755351683,92.17842538226292,292,TRIPURA,693947,352860,341087,520402,275646,244756,248667,186034,62633,43977,7088,507967,105737,44062,151,34717,307,81601,997,10310,129329,179547,158211,47160,22720,18419,559122,156840,848,75.0,78.0,966.6354928300176,72.0,6.0,139,520,162,36.0,53.0,18.0,12.0,0.0,1.0,60.0,26.0,14.0,19.0,81.0,23.0
Tripura,South Tripura,23.211874098057383,91.6065807585568,290,TRIPURA,876001,447544,428457,646810,351082,295728,366845,253229,113616,111332,6375,736015,49258,39258,245,49420,106,133744,948,10393,129846,223185,204201,70173,31690,26870,691125,188363,1118,74.0,78.0,957.3516793879484,69.0,9.0,170,714,211,42.0,57.0,27.0,15.0,0.0,1.0,58.0,27.0,15.0,15.0,79.0,22.0
Tripura,West Tripura,23.780166241299337,91.41310788863107,289,TRIPURA,1725739,879428,846311,1361354,722998,638356,698178,500406,197772,156108,25163,1512801,152791,53622,499,2128,362,314567,6394,36186,248343,421485,451563,156277,88122,85405,1464673,279053,2817,79.0,82.0,962.3425681238259,75.0,7.0,297,1688,664,40.0,57.0,23.0,18.0,0.0,2.0,54.0,29.0,16.0,14.0,85.0,16.0
Uttar Pradesh,Agra,26.99512974910393,78.05278291517321,146,UTTAR PRADESH,4418797,2364953,2053844,2680510,1614594,1065916,1389844,1119701,270143,234455,94184,3922718,411313,10076,12057,4049,21508,536402,27183,82012,600839,904836,647340,450571,317618,199395,3141380,963202,5982,61.0,68.0,868.4502398144909,52.0,16.0,735,3440,1184,31.0,47.0,13.0,12.0,1.0,2.0,65.0,22.0,12.0,14.0,71.0,22.0
Uttar Pradesh,Aligarh,27.93748576850093,78.00146831119557,143,UTTAR PRADESH,3673889,1951996,1721893,2092567,1283380,809187,1174361,929337,245024,267197,78566,2904140,729283,7635,5875,2582,2805,268120,13634,58336,456870,491605,443958,334738,216997,172585,2137251,1352181,4290,57.0,66.0,882.1191231949246,47.0,19.0,636,2474,819,32.0,48.0,14.0,7.0,0.0,2.0,65.0,21.0,13.0,12.0,58.0,37.0
Uttar Pradesh,Allahabad,25.392038662316445,82.05172446982063,175,UTTAR PRADESH,5954391,3131807,2822584,3665727,2199340,1466387,2111907,1426110,685797,541146,185877,5102041,796756,13782,4377,4391,2247,391542,24122,85491,823863,934881,738076,596615,502826,428871,4061896,1756098,7224,62.0,70.0,901.2637113334251,52.0,18.0,1075,4209,1353,35.0,46.0,24.0,7.0,0.0,1.0,63.0,22.0,14.0,14.0,68.0,29.0
Uttar Pradesh,Ambedkar Nagar,26.39119025974028,82.68282142857147,178,UTTAR PRADESH,2397888,1212410,1185478,1486939,846676,640263,787398,547406,239992,301120,58520,1985654,401678,2536,869,1817,235,99581,2509,27308,342667,392873,353570,247028,172872,194387,1718855,813502,2797,62.0,70.0,977.7863923920125,54.0,16.0,511,1655,454,33.0,45.0,20.0,4.0,0.0,1.0,63.0,21.0,15.0,14.0,72.0,34.0
Uttar Pradesh,Auraiya,26.66892394014961,79.42637057356607,162,UTTAR PRADESH,1379545,740040,639505,930836,546198,384638,442023,364543,77480,151727,12533,1273546,101963,1004,371,332,228,65479,2404,14279,133123,291837,282449,168866,101542,79012,1063360,276224,1510,67.0,74.0,864.1492351764769,60.0,14.0,259,887,246,32.0,49.0,12.0,5.0,0.0,1.0,62.0,23.0,15.0,10.0,77.0,20.0
Uttar Pradesh,Azamgarh,26.008290954773837,83.01220251256285,191,UTTAR PRADESH,4613913,2285004,2328909,2771917,1559414,1212503,1372032,941890,430142,452055,115991,3878626,718692,3810,719,5652,183,183381,6652,47324,831966,1344726,879745,489060,312571,158303,4024458,1218146,5419,60.0,68.0,1019.2144083774033,52.0,16.0,870,3307,786,30.0,41.0,18.0,4.0,0.0,1.0,64.0,21.0,15.0,18.0,87.0,26.0
Uttar Pradesh,Baghpat,29.045793499999988,77.30266300000001,139,UTTAR PRADESH,1303048,700070,602978,797970,489858,308112,416695,342604,74091,74500,20347,917474,364583,1840,483,161,16139,119121,2989,19999,139646,272939,215070,132197,79475,44164,887221,376700,1514,61.0,70.0,861.3110117559672,51.0,19.0,264,868,280,32.0,49.0,12.0,9.0,0.0,2.0,63.0,22.0,15.0,11.0,68.0,29.0
Uttar Pradesh,Bahraich,27.691776300578027,81.46779783237004,180,UTTAR PRADESH,3487731,1843884,1643847,1398368,878285,520083,1152160,895576,256584,482897,37965,2291892,1169330,6400,8212,2793,1177,85814,2681,35463,447648,493760,215939,104762,65106,47690,1381933,1920966,3060,40.0,48.0,891.5132405292306,32.0,16.0,584,1785,527,33.0,49.0,16.0,2.0,0.0,1.0,65.0,22.0,13.0,13.0,40.0,55.0
Uttar Pradesh,Ballia,25.86075638297873,84.03651978723408,193,UTTAR PRADESH,3239774,1672902,1566872,1963590,1160960,802630,1019483,723060,296423,384432,72194,3004240,213440,4463,892,1595,233,119972,4672,42969,436021,515010,443440,409484,323582,200434,2348254,1032533,3634,61.0,69.0,936.6191205462126,51.0,18.0,611,2174,582,31.0,43.0,19.0,4.0,0.0,1.0,61.0,22.0,16.0,13.0,72.0,32.0
Uttar Pradesh,Balrampur,27.449076537911324,82.47158326180256,182,UTTAR PRADESH,2148665,1114721,1033944,868357,544943,323414,760253,534332,225921,328768,29916,1333242,805975,3228,900,1866,198,57400,1551,15510,379253,227932,122911,65516,40633,37109,876131,1332817,2174,40.0,49.0,927.5361278741497,31.0,18.0,393,1291,350,35.0,48.0,22.0,3.0,0.0,1.0,66.0,21.0,13.0,18.0,41.0,62.0
