State,District,Latitude,Longitude,District code,State name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Agricultural_Workers,Household_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Literate_Education,Illiterate_Education,Total_Power_Parity,Literacy_Rate,Male_Literacy_Rate,Sex_Ratio,Female_Literacy_Rate,Literacy_Gender_Gap,Low_Income,Middle_Income,High_Income,Worker_Participation_Rate,Male_Worker_Participation_Rate,Female_Worker_Participation_Rate,Electrification_Rate,Internet_Access_Rate,Computer_Access_Rate,Youth_Population_Percent,Middle_Age_Population_Percent,Senior_Population_Percent,Below_Primary_Education_Rate,Literate_Education_Rate,Illiteracy_Rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,ANDHRA PRADESH,2741239,1369597,1371642,1483347,856350,626997,1323667,748939,574728,484912,84661,2399901,275970,15422,1377,25510,617,566108,5512,45202,232470,344167,281752,225957,143143,100226,1346992,1030640,4181,54.0,63.0,1001.4931399528475,46.0,17.0,648,2870,315,48.0,55.0,42.0,21.0,0.0,2.0,56.0,26.0,15.0,8.0,49.0,38.0
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,ANDHRA PRADESH,4081148,2064495,2016653,2310960,1338474,972486,2036166,1208544,827622,879537,105343,3599372,443456,20463,932,341,1417,897970,8606,48299,462273,720357,582075,331793,162175,144915,2426929,1369069,5799,57.0,65.0,976.8262940816035,48.0,17.0,969,3857,536,50.0,59.0,41.0,22.0,0.0,1.0,54.0,27.0,18.0,11.0,59.0,34.0
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,ANDHRA PRADESH,4174064,2090204,2083860,2667878,1484794,1183084,1933357,1202223,731134,748093,57269,3737588,397870,24129,867,253,1322,944555,13763,67087,522961,770836,673197,548336,265199,246409,3062955,1170993,5926,64.0,71.0,996.9648895514505,57.0,14.0,1021,3835,693,46.0,58.0,35.0,23.0,0.0,2.0,51.0,28.0,19.0,13.0,73.0,28.0
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,ANDHRA PRADESH,5154296,2569688,2584608,3288577,1716933,1571644,2093681,1545831,547850,1122046,57853,4983330,77777,77825,738,413,4149,1297273,22411,93784,669420,947606,797497,521562,271809,263023,3518619,1524603,7211,64.0,67.0,1005.8061523422299,61.0,6.0,1274,4814,643,41.0,60.0,21.0,25.0,0.0,2.0,53.0,29.0,18.0,13.0,68.0,30.0
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,ANDHRA PRADESH,4887813,2440521,2447292,2960441,1634726,1325715,2381624,1442370,939254,1227956,47436,4217597,559770,89763,764,323,3282,1186028,19383,80434,736270,845810,674957,453446,246580,221924,3209266,1474349,6981,61.0,67.0,1002.7744075957552,54.0,13.0,1119,4610,701,49.0,59.0,38.0,24.0,0.0,2.0,53.0,28.0,19.0,15.0,66.0,30.0
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,ANDHRA PRADESH,3943323,2018575,1924748,2892155,1542688,1349467,1413297,1045585,367712,23029,46157,2046051,1713405,87522,11446,1268,19560,869721,149034,274653,230962,596591,685215,811501,517425,558090,3445721,556902,11071,73.0,76.0,953.5181997200996,70.0,6.0,416,5212,3912,36.0,52.0,19.0,22.0,4.0,7.0,57.0,27.0,14.0,6.0,87.0,14.0
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,ANDHRA PRADESH,3776269,1880800,1895469,2206829,1257238,949591,1876768,1049463,827305,756859,168340,3491139,244723,24979,2086,332,312,926768,8831,46584,340372,453505,482842,463403,293493,256633,2325560,1280393,5251,58.0,67.0,1007.7993407060826,50.0,17.0,961,3583,413,50.0,56.0,44.0,25.0,0.0,1.0,51.0,27.0,19.0,9.0,62.0,34.0
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,ANDHRA PRADESH,2797370,1390988,1406382,1630234,901640,728594,1410062,802906,607156,804537,19799,2595321,158887,33463,655,217,459,668519,8628,42171,295639,346118,329630,238811,154774,160804,1551232,875272,3836,58.0,65.0,1011.0669538486314,52.0,13.0,732,2596,280,50.0,58.0,43.0,24.0,0.0,2.0,55.0,28.0,17.0,11.0,55.0,31.0
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,ANDHRA PRADESH,4517398,2267375,2250023,3009718,1598959,1410759,2048880,1327299,721581,1006976,48444,4023678,307043,145598,1393,863,6320,1163932,30438,101450,618101,692968,630603,531821,312753,328454,3169428,1352499,6983,67.0,71.0,992.347097414411,63.0,8.0,1054,4586,814,45.0,59.0,32.0,26.0,1.0,2.0,52.0,28.0,18.0,14.0,70.0,30.0
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,ANDHRA PRADESH,4053463,2039227,2014236,2127161,1246369,880792,2029425,1164122,865303,1037302,60791,3328380,670737,33165,737,255,2235,816721,10081,56478,521327,672951,466940,271828,152453,115504,2220285,1517933,5301,52.0,61.0,987.7448660693489,44.0,17.0,1042,3518,407,50.0,57.0,43.0,20.0,0.0,1.0,58.0,26.0,15.0,13.0,55.0,37.0
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,ANDHRA PRADESH,4053028,2050386,2002642,1940646,1158386,782260,2082501,1140067,942434,931084,57846,3673456,334172,21345,658,290,388,757821,6153,60812,419379,596134,441585,308575,169083,98227,2049104,1604319,4695,48.0,56.0,976.7146283675366,39.0,17.0,1068,3241,226,51.0,56.0,47.0,19.0,0.0,2.0,58.0,25.0,16.0,10.0,51.0,40.0
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,ANDHRA PRADESH,3033288,1523030,1510258,1637137,953406,683731,1442203,837874,604329,571129,67642,2637313,342449,34301,1309,554,457,604719,8635,47170,324267,503713,481984,373729,201928,127493,2029580,1199818,3874,54.0,63.0,991.6140850803989,45.0,18.0,786,2656,259,48.0,55.0,40.0,20.0,0.0,2.0,57.0,26.0,17.0,11.0,67.0,40.0
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,ANDHRA PRADESH,3488809,1759772,1729037,2001019,1160757,840262,1741693,976428,765265,863131,45124,3249231,188646,35025,937,241,250,789225,7715,53777,369537,518669,471233,367424,238695,196134,2188695,1294811,4468,57.0,66.0,982.5346692639728,49.0,17.0,968,3043,249,50.0,55.0,44.0,23.0,0.0,2.0,55.0,26.0,19.0,11.0,63.0,37.0
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,ANDHRA PRADESH,2551335,1250641,1300694,1389810,790214,599596,1261076,684320,576756,448281,171311,2123426,391596,19653,2357,1847,542,545913,5261,35036,269487,421399,338668,396396,223365,141850,1804547,1041862,3458,54.0,63.0,1040.0218767815863,46.0,17.0,661,2399,221,49.0,55.0,44.0,21.0,0.0,1.0,55.0,27.0,17.0,11.0,71.0,41.0
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,ANDHRA PRADESH,3397448,1714764,1682684,1904435,1107686,796749,1700567,991842,708725,889218,42603,3150195,220654,18775,266,97,204,763746,6151,43611,489805,495556,368919,249034,142026,133627,1900943,1218310,4304,56.0,65.0,981.2918862304084,47.0,18.0,855,2973,283,50.0,58.0,42.0,22.0,0.0,1.0,54.0,27.0,19.0,14.0,56.0,36.0
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,ANDHRA PRADESH,2703114,1341738,1361376,1495381,857824,637557,1290288,766483,523805,700833,34479,2666950,9025,18879,193,77,160,615432,3988,32280,291793,348354,319244,251521,146721,121213,1499877,1009992,3301,55.0,64.0,1014.6362404582713,47.0,17.0,743,2278,171,48.0,57.0,38.0,23.0,0.0,1.0,53.0,28.0,20.0,11.0,55.0,37.0
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,ANDHRA PRADESH,2344474,1161477,1182997,1238388,707503,530885,1157962,679289,478673,557254,27469,2299129,16423,17853,380,114,815,527736,4453,24128,250446,300057,257468,186576,115144,103591,1240323,1031683,3103,53.0,61.0,1018.5281327137774,45.0,16.0,613,2110,191,49.0,58.0,40.0,23.0,0.0,1.0,51.0,28.0,19.0,11.0,53.0,44.0
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,ANDHRA PRADESH,3512576,1759281,1753295,2065023,1179790,885233,1705655,960926,744729,758092,43550,3273755,197333,31377,1453,253,569,828077,12952,59006,314252,457529,454322,430242,279234,248942,2212184,1191252,4762,59.0,67.0,996.5974736270101,50.0,17.0,938,3139,413,49.0,55.0,42.0,24.0,0.0,2.0,54.0,27.0,19.0,9.0,63.0,34.0
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,ANDHRA PRADESH,3936966,1964918,1972048,2652389,1379223,1273166,1773112,1199338,573774,1061787,33861,3733191,86142,109120,288,209,1578,1017568,12050,55613,595331,718960,585595,415178,215863,207586,2771842,1028767,5485,67.0,70.0,1003.6286501523219,65.0,5.0,1011,3737,429,45.0,61.0,29.0,26.0,0.0,1.0,52.0,29.0,19.0,15.0,70.0,26.0
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,ARUNACHAL PRADESH,148226,76948,71278,73174,44027,29147,62966,39329,23637,4208,496,47683,2134,35969,94,50381,95,14593,170,1486,20425,22537,17354,10032,5641,3633,80456,57290,348,49.0,57.0,926.3138743047252,41.0,16.0,52,231,53,42.0,51.0,33.0,10.0,0.0,1.0,65.0,24.0,11.0,14.0,54.0,39.0
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,ARUNACHAL PRADESH,78690,38775,39915,38449,21599,16850,31710,16424,15286,1063,273,12333,652,37136,36,452,23,5318,57,885,11713,10487,8852,6213,4510,2330,44247,31763,348,49.0,56.0,1029.4003868471953,42.0,14.0,52,231,53,40.0,42.0,38.0,7.0,0.0,1.0,68.0,23.0,9.0,15.0,56.0,40.0
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,ARUNACHAL PRADESH,99214,50116,49098,62576,34210,28366,40222,23591,16631,3565,493,27854,2289,18254,69,776,30,14231,450,1582,9938,13713,13968,10937,9498,6540,65119,21543,644,63.0,68.0,979.6871258679862,58.0,10.0,68,385,145,41.0,47.0,34.0,14.0,0.0,2.0,62.0,26.0,12.0,10.0,66.0,22.0
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,ARUNACHAL PRADESH,92076,45318,46758,36606,20258,16348,38044,18429,19615,2947,833,4859,471,51189,43,121,81,3911,95,969,12661,15054,12264,6997,4353,2031,53659,42621,348,40.0,45.0,1031.7754534622004,35.0,10.0,52,231,53,41.0,41.0,42.0,4.0,0.0,1.0,70.0,22.0,7.0,14.0,58.0,46.0
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,ARUNACHAL PRADESH,145726,76221,69505,83062,48380,34682,60945,38910,22035,7789,786,99020,3846,10684,210,24452,104,17157,312,1471,19306,25179,20643,13070,7612,5180,91574,52421,348,57.0,63.0,911.887799950145,50.0,13.0,52,231,53,42.0,51.0,32.0,12.0,0.0,1.0,65.0,24.0,10.0,13.0,63.0,36.0
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,ARUNACHAL PRADESH,54080,28053,26027,31849,18087,13762,22326,14102,8224,3354,233,28915,2247,9213,33,2932,19,5932,207,742,5875,7957,7351,5508,3570,2795,33141,14406,348,59.0,64.0,927.7795601183474,53.0,11.0,52,231,53,41.0,50.0,32.0,11.0,0.0,1.0,65.0,25.0,10.0,11.0,61.0,27.0
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,ARUNACHAL PRADESH,83030,41843,41187,54057,29470,24587,30202,17339,12863,1968,435,9551,1482,34402,27,193,13,12493,381,1598,8492,10821,11661,9861,7674,5230,54034,17273,348,65.0,70.0,984.3223478240088,60.0,10.0,52,231,53,36.0,41.0,31.0,15.0,0.0,2.0,67.0,24.0,9.0,10.0,65.0,21.0
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,ARUNACHAL PRADESH,176573,89182,87391,121048,65794,55254,65772,41263,24509,1859,1543,57027,6148,84397,310,4768,139,30539,2477,7418,15368,21956,21376,20007,17342,13840,110815,30360,644,69.0,74.0,979.9174721356327,63.0,11.0,68,385,145,37.0,46.0,28.0,17.0,1.0,4.0,68.0,25.0,7.0,9.0,63.0,17.0
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,ARUNACHAL PRADESH,49977,29151,20826,26073,17720,8353,28561,19554,9007,1581,114,11842,787,776,1164,34920,72,8635,96,494,4904,4730,4029,2140,1989,1379,19838,19203,348,52.0,61.0,714.418030256252,40.0,21.0,52,231,53,57.0,67.0,43.0,17.0,0.0,1.0,61.0,28.0,11.0,10.0,40.0,38.0
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,ARUNACHAL PRADESH,111975,57604,54371,47974,29313,18661,50169,27545,22624,1811,836,20682,1103,83361,61,778,43,16026,98,888,13585,16989,12077,7834,4305,2134,57106,50628,348,43.0,51.0,943.8754253176863,34.0,17.0,52,231,53,45.0,48.0,42.0,14.0,0.0,1.0,64.0,23.0,13.0,12.0,51.0,45.0
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,ARUNACHAL PRADESH,35320,18699,16621,18195,10723,7472,17644,9968,7676,804,591,5261,411,5643,27,2577,7,6198,97,392,3952,5584,4915,2935,2211,1349,20992,11209,348,52.0,57.0,888.8710626236697,45.0,12.0,52,231,53,50.0,53.0,46.0,18.0,0.0,1.0,60.0,25.0,15.0,11.0,59.0,32.0
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,ARUNACHAL PRADESH,83448,41758,41690,45278,24807,20471,33370,17898,15472,1846,481,13474,521,8779,28,297,11,5373,139,750,10219,16118,15339,10348,8017,4276,64790,28364,348,54.0,59.0,998.371569519613,49.0,10.0,52,231,53,40.0,43.0,37.0,6.0,0.0,1.0,67.0,24.0,9.0,12.0,78.0,34.0
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,ARUNACHAL PRADESH,83947,46155,37792,48492,29566,18926,42493,28313,14180,1705,801,31265,1970,8466,328,36087,71,14188,202,887,8836,10317,8428,5633,3987,2693,40193,25606,348,58.0,64.0,818.8061965117539,50.0,14.0,52,231,53,51.0,61.0,38.0,17.0,0.0,1.0,63.0,27.0,10.0,11.0,48.0,31.0
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,ARUNACHAL PRADESH,112274,58168,54106,64746,36777,27969,49177,29156,20021,1384,298,15881,2218,29969,577,3311,49,14204,303,1300,14227,17675,15908,11441,8418,6030,74220,27956,348,58.0,63.0,930.1677898500894,52.0,11.0,52,231,53,44.0,50.0,37.0,13.0,0.0,1.0,63.0,25.0,12.0,13.0,66.0,25.0
Assam,Barpeta,26.427872264631056,90.97912010178116,303,ASSAM,1693622,867004,826618,897058,499038,398020,561824,445297,116527,98946,30342,492966,1198036,1020,112,49,399,84804,2078,25286,210607,307884,300845,121924,87377,46947,1083591,664161,348,53.0,58.0,953.4189000281428,48.0,10.0,52,231,53,33.0,51.0,14.0,5.0,0.0,1.0,63.0,24.0,13.0,12.0,64.0,39.0
Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,ASSAM,738804,375818,362986,434078,237114,196964,255806,197542,58264,47406,9485,359145,371033,5924,384,236,871,49866,2523,12959,93591,138294,133643,55924,35491,20221,479431,260721,348,59.0,63.0,965.8558131861698,54.0,9.0,52,231,53,35.0,53.0,16.0,7.0,0.0,2.0,62.0,25.0,13.0,13.0,65.0,35.0
Assam,Cachar,24.815570668693017,92.86849650455927,316,ASSAM,1736617,886284,850333,1174128,639946,534182,608062,469752,138310,68664,24466,1038985,654816,37635,280,341,1673,140205,5316,37541,256855,447993,379469,156156,79766,45341,1378531,357907,348,68.0,72.0,959.4362529392384,63.0,9.0,52,231,53,35.0,53.0,16.0,8.0,0.0,2.0,60.0,26.0,14.0,15.0,79.0,21.0
Assam,Darrang,26.58463215962442,92.04141338028155,325,ASSAM,928500,475273,453227,487039,268666,218373,324843,246864,77979,81617,10542,327322,597392,1688,431,57,724,45444,1166,12084,119027,163277,161153,59039,47398,22267,575240,375556,348,52.0,57.0,953.6140281480328,48.0,9.0,52,231,53,35.0,52.0,17.0,5.0,0.0,1.0,63.0,24.0,13.0,13.0,62.0,40.0
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,ASSAM,686133,351249,334884,423028,237761,185267,316800,186577,130223,19181,7224,655052,13475,8711,297,911,167,28195,1192,10410,79107,138838,136371,80804,55399,28006,521393,194984,348,62.0,68.0,953.4091200259644,55.0,13.0,52,231,53,46.0,53.0,39.0,4.0,0.0,2.0,63.0,25.0,12.0,12.0,76.0,28.0
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,ASSAM,1326335,676434,649901,884531,491361,393170,560557,368013,192544,61209,14362,1198401,64526,52968,2261,4673,1055,136685,8817,34479,143189,243607,301287,139813,89500,59380,983760,340744,348,67.0,73.0,960.7751827968435,60.0,13.0,52,231,53,42.0,54.0,30.0,10.0,1.0,3.0,58.0,28.0,14.0,11.0,74.0,26.0
Assam,Goalpara,26.017277777777807,90.59869891598912,302,ASSAM,1008183,513292,494891,563577,304302,259275,362573,267118,95455,75828,14346,347878,579929,77862,771,194,477,78641,1364,13524,124700,213510,183904,73683,39885,18294,657440,375071,348,56.0,59.0,964.1510095618089,52.0,7.0,52,231,53,36.0,52.0,19.0,8.0,0.0,1.0,65.0,24.0,12.0,12.0,65.0,37.0
Assam,Golaghat,26.377219709794485,93.82583397823468,313,ASSAM,1066888,543161,523727,721764,396475,325289,479928,309104,170824,66616,15068,917426,90312,50582,1131,3863,530,82345,3073,17636,117393,223902,261192,111145,66197,36887,820800,258897,348,68.0,73.0,964.220553390247,62.0,11.0,52,231,53,45.0,57.0,33.0,8.0,0.0,2.0,59.0,27.0,14.0,11.0,77.0,24.0
Assam,Hailakandi,24.457496089385486,92.59154664804475,318,ASSAM,659296,337890,321406,407366,226836,180530,214240,170792,43448,31248,7313,251194,397653,8480,84,490,247,44143,1211,10615,88596,177984,139029,50056,28504,11608,500042,173306,348,62.0,67.0,951.2148924206103,56.0,11.0,52,231,53,32.0,51.0,14.0,7.0,0.0,2.0,64.0,24.0,13.0,13.0,76.0,26.0
Assam,Jorhat,26.76244824016563,94.30197722567289,312,ASSAM,1092256,556805,535451,794929,432335,362594,498618,320746,177872,53153,31543,1008219,54684,21051,1540,2378,719,122063,5651,26357,99454,201680,295444,128050,97025,62608,892694,209170,348,73.0,78.0,961.6490512836631,68.0,10.0,52,231,53,46.0,58.0,33.0,11.0,1.0,2.0,55.0,29.0,16.0,9.0,82.0,19.0
Assam,Kamrup,26.170939452054807,91.58863273972592,321,ASSAM,1517542,778461,739081,995319,550219,445100,628954,428492,200462,99522,69106,877495,601784,33297,319,185,1330,122191,3109,23468,163849,290097,353861,154831,118849,55011,1142942,392678,348,66.0,71.0,949.4130084872588,60.0,11.0,52,231,53,41.0,55.0,27.0,8.0,0.0,2.0,59.0,27.0,14.0,11.0,75.0,26.0
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,ASSAM,956313,490167,466146,557214,314253,242961,383441,246193,137248,60952,9861,766000,20290,157789,370,6260,397,53918,1923,11340,109324,212224,199289,93137,40602,18225,676227,310093,348,58.0,64.0,950.9942529790867,52.0,12.0,52,231,53,40.0,50.0,29.0,6.0,0.0,1.0,65.0,24.0,11.0,11.0,71.0,32.0
Assam,Karimganj,24.69660712250711,92.3679498575498,317,ASSAM,1228686,625864,602822,795297,435942,359355,399171,319798,79373,67033,17435,521962,692489,11990,114,446,524,70951,1933,24699,198059,333885,257931,76685,39637,21408,935508,303785,348,65.0,70.0,963.1836948602253,60.0,10.0,52,231,53,32.0,51.0,13.0,6.0,0.0,2.0,63.0,23.0,13.0,16.0,76.0,25.0
Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,ASSAM,887142,452905,434237,489305,275220,214085,341131,236322,104809,56330,12423,529068,252271,101091,93,1718,396,41373,1218,14063,116899,166013,154715,78788,39571,17287,576006,340601,348,55.0,61.0,958.7816429494044,49.0,12.0,52,231,53,38.0,52.0,24.0,5.0,0.0,2.0,62.0,25.0,12.0,13.0,65.0,38.0
Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,ASSAM,1042137,529674,512463,683486,375552,307934,429995,282250,147745,43922,10983,797130,193476,46217,412,1074,250,60296,1948,15011,126950,212080,217497,107326,82885,44212,795681,275677,348,66.0,71.0,967.5064284824251,60.0,11.0,52,231,53,41.0,53.0,29.0,6.0,0.0,1.0,61.0,26.0,13.0,12.0,76.0,26.0
Assam,Nagaon,26.26462170626351,92.9306191144708,305,ASSAM,2823768,1439112,1384656,1710716,921850,788866,979998,766728,213270,196174,38122,1225246,1563203,26844,3036,1073,1162,195631,5121,45956,392616,638088,576214,199792,115864,66994,1999919,873197,348,61.0,64.0,962.1599986658439,57.0,7.0,52,231,53,35.0,53.0,15.0,7.0,0.0,2.0,63.0,24.0,13.0,14.0,71.0,31.0
Assam,Nalbari,26.46323767605632,91.40598521126763,323,ASSAM,771639,396006,375633,531771,293184,238587,267623,210202,57421,34984,19302,491582,277488,429,62,27,1004,68313,1631,12360,75866,141690,192771,81507,71734,39368,606629,188960,348,69.0,74.0,948.5538097907607,64.0,10.0,52,231,53,35.0,53.0,15.0,9.0,0.0,2.0,57.0,27.0,15.0,10.0,79.0,24.0
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,ASSAM,1924110,983904,940206,1108572,620525,488047,770606,537195,233411,114865,25719,1422824,350536,138166,1363,5088,1003,133368,4358,31254,216097,416218,377653,141373,90385,49901,1298039,627141,348,58.0,63.0,955.5871304517514,52.0,11.0,52,231,53,40.0,55.0,25.0,7.0,0.0,2.0,60.0,26.0,14.0,11.0,67.0,33.0
Assam,Tinsukia,27.53549291139241,95.69055949367085,309,ASSAM,1327929,680231,647698,798322,453449,344873,557196,366623,190573,47756,13241,1181347,48373,76877,1999,16228,837,161718,5135,27948,150893,266717,276292,109805,61040,38152,910252,417081,348,60.0,67.0,952.173599850639,53.0,14.0,52,231,53,42.0,54.0,29.0,12.0,0.0,2.0,60.0,27.0,13.0,11.0,69.0,31.0
Bihar,Araria,26.211528119180603,87.30766554934816,209,BIHAR,2811569,1463333,1348236,1195768,727643,468125,1069893,708391,361502,691947,24367,1593525,1207442,4116,371,187,1910,43290,2561,29796,625357,426625,206161,112955,68177,39627,1485840,1653766,2035,43.0,50.0,921.3459957507963,35.0,15.0,708,1241,55,38.0,48.0,27.0,2.0,0.0,1.0,67.0,22.0,12.0,22.0,53.0,59.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,235,BIHAR,2540073,1318684,1221389,1466002,868733,597269,837770,599157,238613,426096,40652,2291133,237353,2218,295,334,775,44456,2362,31168,559512,482199,302662,253142,136783,91371,1833998,784131,2215,58.0,66.0,926.218108356513,49.0,17.0,585,1375,211,33.0,45.0,20.0,2.0,0.0,1.0,64.0,22.0,13.0,22.0,72.0,31.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,515,MAHARASHTRA,3701282,1924469,1776813,2503837,1430936,1072901,1575079,1015864,559215,396630,28033,2545438,786677,15991,5142,309093,30981,589477,23258,69937,381695,686271,422964,537936,310762,253253,2611982,819734,8119,68.0,74.0,923.2744201127687,60.0,14.0,472,3963,1640,43.0,53.0,31.0,16.0,1.0,2.0,60.0,25.0,15.0,10.0,71.0,22.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,235,BIHAR,2540073,1318684,1221389,1466002,868733,597269,837770,599157,238613,426096,40652,2291133,237353,2218,295,334,775,44456,2362,31168,559512,482199,302662,253142,136783,91371,1833998,784131,2215,58.0,66.0,926.218108356513,49.0,17.0,585,1375,211,33.0,45.0,20.0,2.0,0.0,1.0,64.0,22.0,13.0,22.0,72.0,31.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,515,MAHARASHTRA,3701282,1924469,1776813,2503837,1430936,1072901,1575079,1015864,559215,396630,28033,2545438,786677,15991,5142,309093,30981,589477,23258,69937,381695,686271,422964,537936,310762,253253,2611982,819734,8119,68.0,74.0,923.2744201127687,60.0,14.0,472,3963,1640,43.0,53.0,31.0,16.0,1.0,2.0,60.0,25.0,15.0,10.0,71.0,22.0
Bihar,Banka,24.832355642023337,86.8664916342413,225,BIHAR,2034763,1067140,967623,965321,590961,374360,771080,517817,253263,462614,26680,1772655,250925,6138,139,113,94,62359,1704,22300,408188,386707,196305,120653,63103,35767,1214645,879831,1738,47.0,55.0,906.7441947635737,39.0,16.0,510,1089,126,38.0,49.0,26.0,3.0,0.0,1.0,63.0,23.0,14.0,20.0,60.0,43.0
Bihar,Begusarai,25.54302613168723,86.12560144032932,222,BIHAR,2970541,1567660,1402881,1548673,918507,630166,938182,715345,222837,430870,58167,2554330,407348,2209,402,229,276,120373,4644,43127,577601,484502,291877,207136,144783,101836,1822334,1242551,2354,52.0,59.0,894.888560019392,45.0,14.0,751,1476,115,32.0,46.0,16.0,4.0,0.0,1.0,66.0,22.0,12.0,19.0,61.0,42.0
Bihar,Bhagalpur,25.277192885375477,87.04213814229242,224,BIHAR,3037766,1615663,1422103,1573066,937669,635397,983528,740056,243472,475228,60461,2487866,537098,3556,415,180,1050,174534,6764,46929,614644,524322,300767,247079,154643,118843,1976417,1139715,2814,52.0,58.0,880.1977887715445,45.0,13.0,667,1720,315,32.0,46.0,17.0,6.0,0.0,2.0,64.0,22.0,13.0,20.0,65.0,38.0
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,BIHAR,2728407,1430380,1298027,1599151,973486,625665,822493,640283,182210,364875,47985,2518216,197819,2165,544,647,1472,62153,3661,34658,581580,605307,367059,313509,163303,131137,2172525,1005140,2600,59.0,68.0,907.4700429256561,48.0,20.0,602,1603,317,30.0,45.0,14.0,2.0,0.0,1.0,63.0,22.0,14.0,21.0,80.0,37.0
Bihar,Buxar,25.48593018867924,84.08808081760995,232,BIHAR,1706352,887977,818375,989807,593544,396263,538322,402180,136142,251790,26122,1591454,105423,2125,248,5090,97,46760,1784,19324,331675,420187,256124,178044,89306,64117,1344677,457814,1556,58.0,67.0,921.6173391878393,48.0,19.0,392,966,168,32.0,45.0,17.0,3.0,0.0,1.0,63.0,22.0,15.0,19.0,79.0,27.0
Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,BIHAR,3937385,2059949,1877436,1816634,1125566,691068,1223640,947927,275713,642115,44846,3042729,881476,3534,832,245,236,127442,6280,53205,672797,490534,332382,224622,152540,129597,2028545,2203198,3514,46.0,55.0,911.3992627972829,37.0,18.0,994,2184,276,31.0,46.0,15.0,3.0,0.0,1.0,64.0,22.0,13.0,17.0,52.0,56.0
Bihar,Gaya,24.7266541547278,84.94291217765044,236,BIHAR,4391418,2266566,2124852,2297613,1368803,928810,1664062,1076170,587892,783505,87178,3876395,488121,3943,913,870,1723,112617,6856,57011,902272,757690,447480,342254,191824,131163,2784730,1953368,3998,52.0,60.0,937.4763408610206,44.0,16.0,979,2463,437,38.0,47.0,28.0,3.0,0.0,1.0,64.0,21.0,12.0,21.0,63.0,44.0
